group,preferred logprob change,dispreferred logprob change,preferred logit,dispreferred logit,preferred prob,dispreferred prob,train loss,seed,timestamp,last_epoch
No vs Never,-0.26063406467437744,-78.9037094116211,48.7918815612793,-29.14127540588379,0.12184683233499527,1.737298429047687e-35,0.00038414157461375,8767,2025_11_03-19_35_00,100
No vs Never,0.8463141918182373,-79.09742736816406,46.14027786254883,-32.65086364746094,0.26190000772476196,1.5833495645843502e-35,0.0003372982610017061,344,2025_11_03-19_36_57,100
No vs Never,0.7915048599243164,-79.3555908203125,48.09864807128906,-30.756061553955078,0.2366013526916504,1.3423060679592157e-35,0.00033050961792469025,3298,2025_11_03-19_38_17,100
No vs Never,-1.4339351654052734,-80.76495361328125,47.72170639038086,-30.08445167541504,0.03132154792547226,5.070583202190508e-36,0.0003586075617931783,7596,2025_11_03-19_36_18,100
No vs Never,-0.4755791425704956,-79.38005828857422,47.25831604003906,-30.516178131103516,0.09191133081912994,1.5357947052933756e-35,0.0003742318076547235,2701,2025_11_03-19_37_37,100
No vs Never,0.29065656661987305,-79.08625793457031,48.37238693237305,-29.98396873474121,0.1828230321407318,1.707248276282202e-35,0.00035696575650945306,7834,2025_11_03-19_38_56,100
No vs Never,-0.3319896459579468,-79.62784576416016,49.306819915771484,-29.239177703857422,0.12409858405590057,9.586736859990066e-36,0.00035987066803500056,5290,2025_11_03-19_34_13,100
No vs Never,0.032758116722106934,-79.93878173828125,48.59537124633789,-29.946836471557617,0.14677615463733673,1.1381665219722073e-35,0.0003363620489835739,6327,2025_11_03-19_39_35,100
No vs Never,0.2454453706741333,-79.53634643554688,47.65598678588867,-31.13728141784668,0.1669994443655014,1.0074753556432886e-35,0.00034280429827049375,9818,2025_11_03-19_35_39,100
No vs Never,0.1913226842880249,-78.92756652832031,47.70246887207031,-30.05207061767578,0.14954493939876556,2.5492130372282696e-35,0.0003662947565317154,9773,2025_11_03-19_33_32,100
Yes vs No,0.9169058799743652,-70.08219909667969,42.63768005371094,-33.61848449707031,0.17858505249023438,1.362119346666562e-34,0.0008248383528552949,3298,2025_11_03-19_31_35,100
Yes vs No,0.8343799114227295,-68.54911804199219,39.18354034423828,-36.026527404785156,0.18961112201213837,4.116670297010924e-34,0.0009693983010947704,7834,2025_11_03-19_32_13,100
Yes vs No,0.4799138307571411,-70.0501937866211,40.28772735595703,-34.2112922668457,0.1699158102273941,7.511359310586492e-34,0.0008644278277643025,2701,2025_11_03-19_30_55,100
Yes vs No,0.9222861528396606,-69.26536560058594,38.65760803222656,-36.39500427246094,0.24091069400310516,6.122366257473587e-34,0.0008945302688516676,6327,2025_11_03-19_32_53,100
Yes vs No,0.798957347869873,-71.1546401977539,41.65627670288086,-32.15139389038086,0.26864925026893616,2.3709509834444376e-33,0.0007497771293856204,5290,2025_11_03-19_27_35,100
Yes vs No,1.1599104404449463,-68.38980865478516,40.76036834716797,-34.13721466064453,0.2242014855146408,6.6532231797247785e-34,0.0009534257696941495,8767,2025_11_03-19_28_15,100
Yes vs No,1.1536825895309448,-68.71338653564453,41.251766204833984,-32.93844985961914,0.26594939827919006,1.6010255098718634e-33,0.0009236580808646977,344,2025_11_03-19_30_15,100
Yes vs No,1.737290859222412,-70.41891479492188,42.52312088012695,-31.500812530517578,0.567639172077179,4.035401209369879e-33,0.0007347443606704473,9818,2025_11_03-19_28_55,100
Yes vs No,0.06705260276794434,-70.79344177246094,38.20710372924805,-36.81605911254883,0.13433147966861725,3.5158866137426727e-34,0.0008363467059098184,9773,2025_11_03-19_26_49,100
Yes vs No,1.3653032779693604,-71.22434997558594,40.353355407714844,-33.53028106689453,0.3709249794483185,3.034112549945562e-33,0.0007035883027128875,7596,2025_11_03-19_29_35,100
